bin,py_i,py_q,rtl_i,rtl_q,py_mag,rtl_mag,diff_i,diff_q
1669,1,0,1,0,1,1,0,0
1670,0,-1,0,-1,1,1,0,0
1671,-1,1,-1,1,2,2,0,0
1672,0,0,0,0,0,0,0,0
1673,2,0,2,0,2,2,0,0
1674,2,1,2,1,3,3,0,0
1675,0,2,0,2,2,2,0,0
1676,0,2,0,2,2,2,0,0
1677,0,2,0,2,2,2,0,0
1678,-1,2,-1,2,3,3,0,0
1679,0,2,0,2,2,2,0,0
1680,-1,2,-1,2,3,3,0,0
1681,-1,2,-1,2,3,3,0,0
1682,-2,3,-2,3,5,5,0,0
1683,-2,3,-2,3,5,5,0,0
1684,-2,1,-2,1,3,3,0,0
1685,-1,1,-1,1,2,2,0,0
1686,-2,1,-2,1,3,3,0,0
1687,-3,1,-3,1,4,4,0,0
1688,-3,2,-3,2,5,5,0,0
1689,-4,1,-4,1,5,5,0,0
1690,-4,0,-4,0,4,4,0,0
1691,-4,-1,-4,-1,5,5,0,0
1692,-4,-2,-4,-2,6,6,0,0
1693,-3,0,-3,0,3,3,0,0
1694,-3,-2,-3,-2,5,5,0,0
1695,-3,-2,-3,-2,5,5,0,0
1696,-2,-1,-2,-1,3,3,0,0
1697,-2,-1,-2,-1,3,3,0,0
1698,-2,-3,-2,-3,5,5,0,0
1699,-1,-1,-1,-1,2,2,0,0
1700,-1,-2,-1,-2,3,3,0,0
1701,-1,-1,-1,-1,2,2,0,0
1702,-1,-1,-1,-1,2,2,0,0
1703,0,-1,0,-1,1,1,0,0
1704,0,-1,0,-1,1,1,0,0
1705,0,-2,0,-2,2,2,0,0
1706,1,-1,1,-1,2,2,0,0
1707,0,0,0,0,0,0,0,0
1708,0,-1,0,-1,1,1,0,0
1709,1,-1,1,-1,2,2,0,0
1710,2,0,2,0,2,2,0,0
1711,1,0,1,0,1,1,0,0
1712,2,1,2,1,3,3,0,0
1713,1,2,1,2,3,3,0,0
1714,1,2,1,2,3,3,0,0
1715,1,4,1,4,5,5,0,0
1716,1,2,1,2,3,3,0,0
1717,0,1,0,1,1,1,0,0
1718,0,1,0,1,1,1,0,0
1719,0,3,0,3,3,3,0,0
1720,0,3,0,3,3,3,0,0
1721,-1,2,-1,2,3,3,0,0
1722,-2,1,-2,1,3,3,0,0
1723,-3,1,-3,1,4,4,0,0
1724,-2,1,-2,1,3,3,0,0
1725,-2,1,-2,1,3,3,0,0
1726,-2,2,-2,2,4,4,0,0
1727,-3,2,-3,2,5,5,0,0
1728,-3,2,-3,2,5,5,0,0
1729,-3,3,-3,3,6,6,0,0
1730,-4,1,-4,1,5,5,0,0
1731,-3,0,-3,0,3,3,0,0
1732,-4,0,-4,0,4,4,0,0
1733,-3,-1,-3,-1,4,4,0,0
1734,-3,-1,-3,-1,4,4,0,0
1735,-3,-1,-3,-1,4,4,0,0
1736,-3,0,-3,0,3,3,0,0
1737,-2,-2,-2,-2,4,4,0,0
1738,-1,-3,-1,-3,4,4,0,0
1739,-2,-2,-2,-2,4,4,0,0
1740,-2,-2,-2,-2,4,4,0,0
1741,-2,-2,-2,-2,4,4,0,0
1742,-2,-2,-2,-2,4,4,0,0
1743,0,-1,0,-1,1,1,0,0
1744,-1,0,-1,0,1,1,0,0
1745,-2,-1,-2,-1,3,3,0,0
1746,0,-2,0,-2,2,2,0,0
1747,0,-1,0,-1,1,1,0,0
1748,0,0,0,0,0,0,0,0
